Time,Position,Percentage,Lots,Number
2024-01-29 17:12:48.613392,Short,28.0,6356.93,23233.0
2024-01-29 17:12:48.613392,Long,72.0,16103.92,53927.0
2024-01-29 17:12:54.791534,Short,28.0,6356.93,23233.0
2024-01-29 17:12:54.791534,Long,72.0,16103.92,53927.0
2024-01-29 17:13:00.862864,Short,28.0,6356.93,23233.0
2024-01-29 17:13:00.862864,Long,72.0,16103.92,53927.0
2024-01-29 17:13:06.996556,Short,28.0,6356.93,23233.0
2024-01-29 17:13:06.996556,Long,72.0,16103.92,53927.0
2024-01-29 17:13:13.112248,Short,28.0,6356.93,23233.0
2024-01-29 17:13:13.112248,Long,72.0,16103.92,53927.0
2024-01-29 17:13:28.138782,Short,29.0,6354.06,23217.0
2024-01-29 17:13:28.138782,Long,71.0,15876.78,53777.0
2024-01-29 17:15:09.101634,Short,29.0,6350.15,23216.0
2024-01-29 17:15:09.101634,Long,71.0,15771.72,53588.0
2024-01-29 17:15:15.592533,Short,29.0,6350.15,23216.0
2024-01-29 17:15:15.592533,Long,71.0,15771.72,53588.0
2024-01-29 17:15:56.935615,Short,29.0,6350.14,23216.0
2024-01-29 17:15:56.935615,Long,71.0,15773.5,53587.0
2024-01-29 17:16:03.892561,Short,29.0,6350.14,23216.0
2024-01-29 17:16:03.892561,Long,71.0,15773.5,53587.0
2024-01-29 17:16:10.152633,Short,29.0,6350.14,23216.0
2024-01-29 17:16:10.152633,Long,71.0,15773.5,53587.0
2024-01-29 17:16:16.333813,Short,29.0,6350.14,23216.0
2024-01-29 17:16:16.333813,Long,71.0,15773.5,53587.0
2024-01-29 17:16:22.484343,Short,29.0,6350.14,23216.0
2024-01-29 17:16:22.484343,Long,71.0,15773.5,53587.0
2024-01-29 17:16:28.757436,Short,29.0,6350.88,23206.0
2024-01-29 17:16:28.757436,Long,71.0,15762.29,53517.0
2024-01-29 17:19:08.193260,Short,29.0,6339.97,23174.0
2024-01-29 17:19:08.193260,Long,71.0,15407.26,53279.0
2024-01-29 17:19:15.125697,Short,29.0,6339.97,23174.0
2024-01-29 17:19:15.125697,Long,71.0,15407.26,53279.0
2024-01-29 17:19:16.446214,Short,29.0,6339.97,23174.0
2024-01-29 17:19:16.446214,Long,71.0,15407.26,53279.0
2024-01-29 17:19:22.647600,Short,29.0,6339.97,23174.0
2024-01-29 17:19:22.647600,Long,71.0,15407.26,53279.0
2024-01-29 17:19:28.887701,Short,29.0,6339.97,23174.0
2024-01-29 17:19:28.887701,Long,71.0,15407.26,53279.0
2024-01-29 17:19:35.175114,Short,29.0,6340.12,23193.0
2024-01-29 17:19:35.175114,Long,71.0,15410.76,53350.0
2024-01-29 17:19:41.448766,Short,29.0,6340.12,23193.0
2024-01-29 17:19:41.448766,Long,71.0,15410.76,53350.0
2024-01-29 17:19:47.779665,Short,29.0,6340.12,23193.0
2024-01-29 17:19:47.779665,Long,71.0,15410.76,53350.0
2024-01-29 17:19:54.092389,Short,29.0,6340.12,23193.0
2024-01-29 17:19:54.092389,Long,71.0,15410.76,53350.0
2024-01-29 17:20:00.520924,Short,29.0,6340.12,23193.0
2024-01-29 17:20:00.520924,Long,71.0,15410.76,53350.0
2024-01-29 17:20:06.995631,Short,29.0,6340.12,23193.0
2024-01-29 17:20:06.995631,Long,71.0,15410.76,53350.0
2024-01-29 17:20:13.090989,Short,29.0,6340.12,23193.0
2024-01-29 17:20:13.090989,Long,71.0,15410.76,53350.0
2024-01-29 17:20:19.152446,Short,29.0,6340.12,23193.0
2024-01-29 17:20:19.152446,Long,71.0,15410.76,53350.0
2024-01-29 17:20:25.279145,Short,29.0,6340.12,23193.0
2024-01-29 17:20:25.279145,Long,71.0,15410.76,53350.0
2024-01-29 17:20:31.381622,Short,29.0,6340.12,23193.0
2024-01-29 17:20:31.381622,Long,71.0,15410.76,53350.0
2024-01-29 17:20:37.454946,Short,29.0,6335.46,23190.0
2024-01-29 17:20:37.454946,Long,71.0,15406.71,53365.0
2024-01-29 17:20:43.603657,Short,29.0,6335.46,23190.0
2024-01-29 17:20:43.603657,Long,71.0,15406.71,53365.0
2024-01-29 17:20:49.690249,Short,29.0,6335.46,23190.0
2024-01-29 17:20:49.690249,Long,71.0,15406.71,53365.0
2024-01-29 17:20:55.888026,Short,29.0,6335.46,23190.0
2024-01-29 17:20:55.888026,Long,71.0,15406.71,53365.0
2024-01-29 17:21:02.176411,Short,29.0,6335.46,23190.0
2024-01-29 17:21:02.176411,Long,71.0,15406.71,53365.0
2024-01-29 17:21:08.307230,Short,29.0,6335.46,23190.0
2024-01-29 17:21:08.307230,Long,71.0,15406.71,53365.0
2024-01-29 17:21:14.495490,Short,29.0,6335.46,23190.0
2024-01-29 17:21:14.495490,Long,71.0,15406.71,53365.0
2024-01-29 17:21:20.630524,Short,29.0,6335.46,23190.0
2024-01-29 17:21:20.630524,Long,71.0,15406.71,53365.0
2024-01-29 17:21:26.790498,Short,29.0,6335.46,23190.0
2024-01-29 17:21:26.790498,Long,71.0,15406.71,53365.0
2024-01-29 17:21:32.912972,Short,29.0,6335.46,23190.0
2024-01-29 17:21:32.912972,Long,71.0,15406.71,53365.0
2024-01-29 17:21:39.104357,Short,29.0,6335.4,23186.0
2024-01-29 17:21:39.104357,Long,71.0,15405.46,53355.0
2024-01-29 17:21:45.258721,Short,29.0,6335.4,23186.0
2024-01-29 17:21:45.258721,Long,71.0,15405.46,53355.0
2024-01-29 17:21:51.390540,Short,29.0,6335.4,23186.0
2024-01-29 17:21:51.390540,Long,71.0,15405.46,53355.0
2024-01-29 17:21:57.483299,Short,29.0,6335.4,23186.0
2024-01-29 17:21:57.483299,Long,71.0,15405.46,53355.0
2024-01-29 17:22:03.602291,Short,29.0,6335.4,23186.0
2024-01-29 17:22:03.602291,Long,71.0,15405.46,53355.0
2024-01-29 17:22:09.781306,Short,29.0,6335.4,23186.0
2024-01-29 17:22:09.781306,Long,71.0,15405.46,53355.0
2024-01-29 17:22:15.948255,Short,29.0,6335.4,23186.0
2024-01-29 17:22:15.948255,Long,71.0,15405.46,53355.0
2024-01-29 17:22:22.463847,Short,29.0,6335.4,23186.0
2024-01-29 17:22:22.463847,Long,71.0,15405.46,53355.0
2024-01-29 17:22:28.619622,Short,29.0,6335.4,23186.0
2024-01-29 17:22:28.619622,Long,71.0,15405.46,53355.0
2024-01-29 17:22:35.091672,Short,29.0,6335.4,23186.0
2024-01-29 17:22:35.091672,Long,71.0,15405.46,53355.0
2024-01-29 17:22:41.508777,Short,29.0,6335.05,23182.0
2024-01-29 17:22:41.508777,Long,71.0,15398.15,53298.0
2024-01-29 17:22:47.889418,Short,29.0,6335.05,23182.0
2024-01-29 17:22:47.889418,Long,71.0,15398.15,53298.0
2024-01-29 17:22:54.032182,Short,29.0,6335.05,23182.0
2024-01-29 17:22:54.032182,Long,71.0,15398.15,53298.0
2024-01-29 17:23:00.269149,Short,29.0,6335.05,23182.0
2024-01-29 17:23:00.269149,Long,71.0,15398.15,53298.0
2024-01-29 17:23:06.785357,Short,29.0,6335.05,23182.0
2024-01-29 17:23:06.785357,Long,71.0,15398.15,53298.0
2024-01-29 17:23:13.306612,Short,29.0,6335.05,23182.0
2024-01-29 17:23:13.306612,Long,71.0,15398.15,53298.0
2024-01-29 17:23:19.754908,Short,29.0,6335.05,23182.0
2024-01-29 17:23:19.754908,Long,71.0,15398.15,53298.0
2024-01-29 17:23:25.874106,Short,29.0,6335.05,23182.0
2024-01-29 17:23:25.874106,Long,71.0,15398.15,53298.0
2024-01-29 17:23:32.089850,Short,29.0,6335.05,23182.0
2024-01-29 17:23:32.089850,Long,71.0,15398.15,53298.0
2024-01-29 17:23:38.299850,Short,29.0,6337.22,23190.0
2024-01-29 17:23:38.299850,Long,71.0,15388.55,53261.0
2024-01-29 17:23:44.436450,Short,29.0,6337.22,23190.0
2024-01-29 17:23:44.436450,Long,71.0,15388.55,53261.0
2024-01-29 17:23:50.746154,Short,29.0,6337.22,23190.0
2024-01-29 17:23:50.746154,Long,71.0,15388.55,53261.0
2024-01-29 17:23:56.835031,Short,29.0,6337.22,23190.0
2024-01-29 17:23:56.835031,Long,71.0,15388.55,53261.0
2024-01-29 17:24:02.959453,Short,29.0,6337.22,23190.0
2024-01-29 17:24:02.959453,Long,71.0,15388.55,53261.0
2024-01-29 17:24:09.276218,Short,29.0,6337.22,23190.0
2024-01-29 17:24:09.276218,Long,71.0,15388.55,53261.0
2024-01-29 17:24:15.441657,Short,29.0,6337.22,23190.0
2024-01-29 17:24:15.441657,Long,71.0,15388.55,53261.0
2024-01-29 17:24:21.574589,Short,29.0,6337.22,23190.0
2024-01-29 17:24:21.574589,Long,71.0,15388.55,53261.0
2024-01-29 17:24:27.823605,Short,29.0,6337.22,23190.0
2024-01-29 17:24:27.823605,Long,71.0,15388.55,53261.0
2024-01-29 17:24:34.160377,Short,29.0,6337.22,23190.0
2024-01-29 17:24:34.160377,Long,71.0,15388.55,53261.0
2024-01-29 17:24:40.263260,Short,29.0,6339.02,23211.0
2024-01-29 17:24:40.263260,Long,71.0,15375.52,53235.0
2024-01-29 17:24:46.940711,Short,29.0,6339.02,23211.0
2024-01-29 17:24:46.940711,Long,71.0,15375.52,53235.0
2024-01-29 17:24:53.196332,Short,29.0,6339.02,23211.0
2024-01-29 17:24:53.196332,Long,71.0,15375.52,53235.0
2024-01-29 17:24:59.374252,Short,29.0,6339.02,23211.0
2024-01-29 17:24:59.374252,Long,71.0,15375.52,53235.0
2024-01-29 17:25:05.622794,Short,29.0,6339.02,23211.0
2024-01-29 17:25:05.622794,Long,71.0,15375.52,53235.0
2024-01-29 17:25:11.694650,Short,29.0,6339.02,23211.0
2024-01-29 17:25:11.694650,Long,71.0,15375.52,53235.0
2024-01-29 17:25:17.892530,Short,29.0,6339.02,23211.0
2024-01-29 17:25:17.892530,Long,71.0,15375.52,53235.0
2024-01-29 17:25:24.090507,Short,29.0,6339.02,23211.0
